순번,한글명,데이터 타입,Null허용,데이터 상세 설명
1,KAMIS_부류코드,INTEGER,N,농수산식품 유통공사 - 분류코드
2,KAMIS_부류명,VARCHAR(100),N,농수산식품 유통공사 - 분류명
3,KAMIS_품목코드,INTEGER,N,농수산식품 유통공사 - 품목코드
4,KAMIS_품목명,VARCHAR(100),N,농수산식품 유통공사 - 품목명
5,유통채널,VARCHAR(20),N,"대형마트, 체인슈퍼"
6,주차코드,VARCHAR(20),N,월요일~일요일 까지를 한주로 정의
7,주차_시작일자,VARCHAR(10),N,"주차에 대한 시작일자 (월요일, YYYYMMDD)"
8,주차_종료일자,VARCHAR(10),N,"주차에 대한 종료일자 (일요일, YYYYMMDD)"
9,소매_매출액_원,"NUMBER(20,0)",N,소매채널의 추정 매출액 (원)
10,KAMIS_도매가격_중량기준,VARCHAR(20),N,KAMIS 품목별 도매가격을 집계하기 위한 중량 기준
11,KAMIS_도매가격_원,"NUMBER(20,0)",N,KAMIS 품목별 중량 기준별 평균가격 (원)
