대분류,중분류,뉴스제목
경제,물가/가격,"""""귤 사먹느니 비타민 사먹어요""""…천정부지로 치솟는 과일값"
농업/먹거리,농산물/작황,"""""배에 음식으로 꽉 차""""...이때 속 편하게 하는 음료 6가지"
사회,사건/사고,"[데일리안 오늘뉴스 종합] '고추 말리는 공항' '한화갑 공항'의 예견된 참사?, """"조류 충돌 사고 원인 아닐 수도…규모 너무 커"""" 등"
생활,레시피/요리,"[백종원 따라잡는 소여사레시피] 소유진, 간단한 밑반찬! 소시지 고추장볶음(소세지야채볶음) 만드는 법 - 글로벌이코노믹"
농업/먹거리,농산물/작황,"'땅콩회항' 박창진, 항공기 참사에…""과도한 말들 오고가"" - 헤럴드경제"
사회,사건/사고,"'땅콩회항' 박창진 ""괌 대한항공 사고 때 멱살 잡히기도…아픔에 무관심 안돼"""
생활,레시피/요리,"'오징어게임2' 로튼토마토 82%, ""악마적인 도전 흥미진진"" 호평[MD이슈]"
건강,영양/의학,"""건강한 한 해 위해"" 1월에 꼭 먹어야 하는 식품 5가지"
농업/먹거리,농산물/작황,"""마트 갈 때마다 철렁""…1년 새 귤 46%·사과 30% 올랐다는데"
농업/먹거리,농산물/작황,"""이 정도면 음식물쓰레기""…'곰팡이 고구마' 판 쇼핑몰"
농업/먹거리,농산물/작황,내 몸속 염증 물리치려면?...'이 과일' 오일 먹어볼까?
농업/먹거리,농산물/작황,농지에 잘 수 있는 '쉼터' 허용…쌀·배추도 수입안정보험 적용
사회,사건/사고,목동 깨비시장 차량 돌진으로 과일가게 상인 1명 사망
농업/먹거리,농산물/작황,바나나 한 송이를 새벽 배송으로 주문한다는 것 [노동의 표정]
농업/먹거리,농산물/작황,바나나 한 송이를 새벽 배송으로 주문한다는 것 [노동의 표정] < Editor's Pick < In-Depth < 기사본문 - 더스쿠프
사회,사건/사고,부모 배추 싣던 중 화물차 안에서 2세 여아 숨져
경제,수수료/요금,"알리익스프레스 """"수수료 정책 변경?신규 입점자 90일간 0%"""""
