카테고리,유통채널,광역시도,월코드,소매_매출액_원,KG_유치원,KG_초등학교,KG_중학교_녀,KG_중학교_남,KG_중학교_남녀공학,KG_고등학교_녀,KG_고등학교_남,KG_고등학교_남녀공학,원_유치원,원_초등학교,원_중학교_녀,원_중학교_남,원_중학교_남녀공학,원_고등학교_녀,원_고등학교_남,원_고등학교_남녀공학
찹쌀,편의점,경기도,M202401,6772548,,2,,,,,,322,,10818,,,,,,1741698
찹쌀,체인슈퍼,경기도,M202401,222590659,,2,,,,,,322,,10818,,,,,,1741698
찹쌀,대형마트,경기도,M202401,740219427,,2,,,,,,322,,10818,,,,,,1741698
찹쌀,일반슈퍼,경기도,M202401,262990089,,2,,,,,,322,,10818,,,,,,1741698
찹쌀,식자재마트,경기도,M202401,429418520,,2,,,,,,322,,10818,,,,,,1741698
찹쌀,식자재마트,대구광역시,M202401,40000272,177.05,11000.24,,,18,,92,72,943854,58642279,,,95958,,490452,383832
찹쌀,대형마트,대구광역시,M202401,120044566,177.05,11000.24,,,18,,92,72,943854,58642279,,,95958,,490452,383832
찹쌀,체인슈퍼,대구광역시,M202401,27153741,177.05,11000.24,,,18,,92,72,943854,58642279,,,95958,,490452,383832
찹쌀,일반슈퍼,대구광역시,M202401,50158102,177.05,11000.24,,,18,,92,72,943854,58642279,,,95958,,490452,383832
찹쌀,식자재마트,부산광역시,M202401,65028799,77.35,8219.83,51.5,,102,,347.6,278,341500,36290527,227373,,450330,,1534654,1227370
찹쌀,일반슈퍼,부산광역시,M202401,186192239,77.35,8219.83,51.5,,102,,347.6,278,341500,36290527,227373,,450330,,1534654,1227370
찹쌀,대형마트,부산광역시,M202401,223795804,77.35,8219.83,51.5,,102,,347.6,278,341500,36290527,227373,,450330,,1534654,1227370
찹쌀,체인슈퍼,부산광역시,M202401,112703195,77.35,8219.83,51.5,,102,,347.6,278,341500,36290527,227373,,450330,,1534654,1227370
찹쌀,식자재마트,울산광역시,M202401,13550173,10,947.2,84,,,,,,44150,4181888,370860,,,,,
찹쌀,대형마트,울산광역시,M202401,88694352,10,947.2,84,,,,,,44150,4181888,370860,,,,,
찹쌀,일반슈퍼,울산광역시,M202401,23605385,10,947.2,84,,,,,,44150,4181888,370860,,,,,
찹쌀,체인슈퍼,울산광역시,M202401,4970529,10,947.2,84,,,,,,44150,4181888,370860,,,,,
찹쌀,일반슈퍼,인천광역시,M202401,69350485,223,6301.42,615.56,226.62,1520.7,716.4,605,525.5,1188813,33592870,3281550,1208134,8106852,3819128,3225255,2801441
찹쌀,대형마트,인천광역시,M202401,125342610,223,6301.42,615.56,226.62,1520.7,716.4,605,525.5,1188813,33592870,3281550,1208134,8106852,3819128,3225255,2801441
찹쌀,식자재마트,인천광역시,M202401,59691560,223,6301.42,615.56,226.62,1520.7,716.4,605,525.5,1188813,33592870,3281550,1208134,8106852,3819128,3225255,2801441
찹쌀,체인슈퍼,인천광역시,M202401,35053308,223,6301.42,615.56,226.62,1520.7,716.4,605,525.5,1188813,33592870,3281550,1208134,8106852,3819128,3225255,2801441
찹쌀,편의점,인천광역시,M202401,402384,223,6301.42,615.56,226.62,1520.7,716.4,605,525.5,1188813,33592870,3281550,1208134,8106852,3819128,3225255,2801441
찹쌀,대형마트,경상남도,M202402,246710850,446.08,7429.23,554.1,1312.17,3425.4,902.33,1373.8,4163.79,2810304,46804118,3490830,8266658,21580020,5684679,8654940,26231877
찹쌀,식자재마트,경상남도,M202402,95287683,446.08,7429.23,554.1,1312.17,3425.4,902.33,1373.8,4163.79,2810304,46804118,3490830,8266658,21580020,5684679,8654940,26231877
찹쌀,체인슈퍼,경상남도,M202402,47558014,446.08,7429.23,554.1,1312.17,3425.4,902.33,1373.8,4163.79,2810304,46804118,3490830,8266658,21580020,5684679,8654940,26231877
찹쌀,일반슈퍼,경상남도,M202402,174487406,446.08,7429.23,554.1,1312.17,3425.4,902.33,1373.8,4163.79,2810304,46804118,3490830,8266658,21580020,5684679,8654940,26231877
찹쌀,체인슈퍼,경상북도,M202402,22892125,69.45,4496.57,532.89,242.32,1345.46,1181.52,1009.12,3486.77,394754,25558504,3028947,1377347,7647606,6715760,5735838,19818801
찹쌀,식자재마트,경상북도,M202402,93338390,69.45,4496.57,532.89,242.32,1345.46,1181.52,1009.12,3486.77,394754,25558504,3028947,1377347,7647606,6715760,5735838,19818801
찹쌀,대형마트,경상북도,M202402,150809184,69.45,4496.57,532.89,242.32,1345.46,1181.52,1009.12,3486.77,394754,25558504,3028947,1377347,7647606,6715760,5735838,19818801
찹쌀,일반슈퍼,경상북도,M202402,142369270,69.45,4496.57,532.89,242.32,1345.46,1181.52,1009.12,3486.77,394754,25558504,3028947,1377347,7647606,6715760,5735838,19818801
찹쌀,일반슈퍼,광주광역시,M202402,50542781,218.56,2133.24,72.52,57,1387.16,1172.8,1132.8,873.11,1038816,10139285,344688,270921,6593171,5574318,5384198,4149892
찹쌀,대형마트,광주광역시,M202402,49703236,218.56,2133.24,72.52,57,1387.16,1172.8,1132.8,873.11,1038816,10139285,344688,270921,6593171,5574318,5384198,4149892
찹쌀,식자재마트,광주광역시,M202402,47893758,218.56,2133.24,72.52,57,1387.16,1172.8,1132.8,873.11,1038816,10139285,344688,270921,6593171,5574318,5384198,4149892
찹쌀,체인슈퍼,광주광역시,M202402,8393784,218.56,2133.24,72.52,57,1387.16,1172.8,1132.8,873.11,1038816,10139285,344688,270921,6593171,5574318,5384198,4149892
찹쌀,체인슈퍼,충청남도,M202402,17377728,,189,,,34,741,213,242.6,,1190700,,,214200,4668300,1341900,1528380
찹쌀,대형마트,충청남도,M202402,79827695,,189,,,34,741,213,242.6,,1190700,,,214200,4668300,1341900,1528380
찹쌀,식자재마트,충청남도,M202402,77375852,,189,,,34,741,213,242.6,,1190700,,,214200,4668300,1341900,1528380
찹쌀,일반슈퍼,충청남도,M202402,127164414,,189,,,34,741,213,242.6,,1190700,,,214200,4668300,1341900,1528380
찹쌀,체인슈퍼,경기도,M202403,141251358,125.7,12421.47,577.2,264.6,15957.65,2111.85,1191.58,35719.71,798069,78863913,3664643,1679945,101315120,13408136,7565341,226784439
찹쌀,식자재마트,경기도,M202403,496806163,125.7,12421.47,577.2,264.6,15957.65,2111.85,1191.58,35719.71,798069,78863913,3664643,1679945,101315120,13408136,7565341,226784439
찹쌀,일반슈퍼,경기도,M202403,323845705,125.7,12421.47,577.2,264.6,15957.65,2111.85,1191.58,35719.71,798069,78863913,3664643,1679945,101315120,13408136,7565341,226784439
찹쌀,대형마트,경기도,M202403,697206681,125.7,12421.47,577.2,264.6,15957.65,2111.85,1191.58,35719.71,798069,78863913,3664643,1679945,101315120,13408136,7565341,226784439
찹쌀,식자재마트,대구광역시,M202403,51538248,793,29460.41,352.08,463.85,11827.39,2372.95,3878.7,7561.86,4699348,174582413,2086426,2748775,70089113,14062102,22985176,44811582
찹쌀,체인슈퍼,대구광역시,M202403,19234094,793,29460.41,352.08,463.85,11827.39,2372.95,3878.7,7561.86,4699348,174582413,2086426,2748775,70089113,14062102,22985176,44811582
찹쌀,대형마트,대구광역시,M202403,163075611,793,29460.41,352.08,463.85,11827.39,2372.95,3878.7,7561.86,4699348,174582413,2086426,2748775,70089113,14062102,22985176,44811582
찹쌀,일반슈퍼,대구광역시,M202403,67380951,793,29460.41,352.08,463.85,11827.39,2372.95,3878.7,7561.86,4699348,174582413,2086426,2748775,70089113,14062102,22985176,44811582
찹쌀,일반슈퍼,부산광역시,M202403,229756596,69.8,19156.78,4072.4,3208.3,12380.69,5997.19,7656.35,13032.4,334202,91722687,19498651,15361340,59278744,28714546,36658613,62399131
찹쌀,식자재마트,부산광역시,M202403,82938056,69.8,19156.78,4072.4,3208.3,12380.69,5997.19,7656.35,13032.4,334202,91722687,19498651,15361340,59278744,28714546,36658613,62399131
찹쌀,체인슈퍼,부산광역시,M202403,72731314,69.8,19156.78,4072.4,3208.3,12380.69,5997.19,7656.35,13032.4,334202,91722687,19498651,15361340,59278744,28714546,36658613,62399131
찹쌀,대형마트,부산광역시,M202403,243975046,69.8,19156.78,4072.4,3208.3,12380.69,5997.19,7656.35,13032.4,334202,91722687,19498651,15361340,59278744,28714546,36658613,62399131
찹쌀,대형마트,울산광역시,M202403,101226734,67.25,3602.48,243,230.8,3463.72,146,327.3,3622.4,321993,17248674,1163484,1105070,16584291,699048,1567112,17344051
찹쌀,체인슈퍼,울산광역시,M202403,1152715,67.25,3602.48,243,230.8,3463.72,146,327.3,3622.4,321993,17248674,1163484,1105070,16584291,699048,1567112,17344051
찹쌀,식자재마트,울산광역시,M202403,14935426,67.25,3602.48,243,230.8,3463.72,146,327.3,3622.4,321993,17248674,1163484,1105070,16584291,699048,1567112,17344051
찹쌀,일반슈퍼,울산광역시,M202403,31015568,67.25,3602.48,243,230.8,3463.72,146,327.3,3622.4,321993,17248674,1163484,1105070,16584291,699048,1567112,17344051
찹쌀,일반슈퍼,인천광역시,M202403,82452995,,3642.1,3,14,1928.2,166.9,707,939.1,,21451969,17670,82460,11357098,983041,4164230,5531299
찹쌀,식자재마트,인천광역시,M202403,84190373,,3642.1,3,14,1928.2,166.9,707,939.1,,21451969,17670,82460,11357098,983041,4164230,5531299
찹쌀,체인슈퍼,인천광역시,M202403,29281043,,3642.1,3,14,1928.2,166.9,707,939.1,,21451969,17670,82460,11357098,983041,4164230,5531299
찹쌀,대형마트,인천광역시,M202403,132856270,,3642.1,3,14,1928.2,166.9,707,939.1,,21451969,17670,82460,11357098,983041,4164230,5531299
찹쌀,식자재마트,경상북도,M202404,65526151,78.4,4143.37,404,284.5,791.14,1466.88,1629.98,1449.76,509130,26907045,2623576,1847543,5137663,9525919,10585090,9414741
찹쌀,대형마트,경상북도,M202404,88119967,78.4,4143.37,404,284.5,791.14,1466.88,1629.98,1449.76,509130,26907045,2623576,1847543,5137663,9525919,10585090,9414741
찹쌀,체인슈퍼,경상북도,M202404,19578648,78.4,4143.37,404,284.5,791.14,1466.88,1629.98,1449.76,509130,26907045,2623576,1847543,5137663,9525919,10585090,9414741
찹쌀,일반슈퍼,경상북도,M202404,105829295,78.4,4143.37,404,284.5,791.14,1466.88,1629.98,1449.76,509130,26907045,2623576,1847543,5137663,9525919,10585090,9414741
