순번,한글명,데이터타입,Null허용,데이터항목설명
1,카테고리,"VARCHAR(20)",N,"75개 농/수/축/임산물품 카테고리"
2,유통채널,"VARCHAR(20)",N,"대형마트, 체인슈퍼, 편의점, 일반슈퍼, 식자재마트"
3,광역시도,"VARCHAR(20)",N,"강원,경기,경남,경북,광주,대구,대전,부산,서울,울산,인천,전남,전북,제주,충남,충북"
4,월코드,"VARCHAR(10)",N,"Myyyymm  (M + 년도(4자리) + 월(2자리))"
5,소매_매출액_원,"NUMBER(20,0)",N,"소매 매출 총액 매출액 (원)"
6,KG_유치원,"NUMBER(20,2)",Y,"유치원의 급식 발주 금액 (KG)"
7,KG_초등학교,"NUMBER(20,2)",Y,"초등학교의 급식 발주 금액 (KG)"
8,KG_중학교_녀,"NUMBER(20,2)",Y,"중학교(여)의 급식 발주 금액 (KG)"
9,KG_중학교_남,"NUMBER(20,2)",Y,"중학교(남)의 급식 발주 금액 (KG)"
10,KG_중학교_남녀공학,"NUMBER(20,2)",Y,"중학교(남녀)의 급식 발주 금액 (KG)"
11,KG_고등학교_녀,"NUMBER(20,2)",Y,"고등학교(여)의 급식 발주 금액 (KG)"
12,KG_고등학교_남,"NUMBER(20,2)",Y,"고등학교(남)의 급식 발주 금액 (KG)"
13,KG_고등학교_남녀공학,"NUMBER(20,2)",Y,"고등학교(남녀)의 급식 발주 금액 (KG)"
14,원_유치원,"NUMBER(20,0)",Y,"유치원의 급식 발주 금액 (원)"
15,원_초등학교,"NUMBER(20,0)",Y,"초등학교의 급식 발주 금액 (원)"
16,원_중학교_녀,"NUMBER(20,0)",Y,"중학교(여)의 급식 발주 금액 (원)"
17,원_중학교_남,"NUMBER(20,0)",Y,"중학교(남)의 급식 발주 금액 (원)"
18,원_중학교_남녀공학,"NUMBER(20,0)",Y,"중학교(남녀)의 급식 발주 금액 (원)"
19,원_고등학교_녀,"NUMBER(20,0)",Y,"고등학교(여)의 급식 발주 금액 (원)"
20,원_고등학교_남,"NUMBER(20,0)",Y,"고등학교(남)의 급식 발주 금액 (원)"
21,원_고등학교_남녀공학,"NUMBER(20,0)",Y,"고등학교(남녀)의 급식 발주 금액 (원)"
