KAMIS_분류코드,KAMIS_분류명,KAMIS_품목코드,KAMIS_품목명,유통채널,주차코드,주차_시작일자,주차_종료일자,소매_매출액_원,KAMIS_도매가격_중량기준,KAMIS_도매가격_원
100,식량작물,112,찹쌀,체인슈퍼,W202434,20240819,20240825,79066336,1kg,2712
100,식량작물,112,찹쌀,대형마트,W202434,20240819,20240825,501819237,1kg,2712
100,식량작물,112,찹쌀,체인슈퍼,W202435,20240826,20240901,91686132,1kg,2711
100,식량작물,112,찹쌀,대형마트,W202435,20240826,20240901,456617866,1kg,2711
100,식량작물,112,찹쌀,체인슈퍼,W202439,20240923,20240929,94595497,1kg,2733
100,식량작물,112,찹쌀,대형마트,W202439,20240923,20240929,643835893,1kg,2733
100,식량작물,112,찹쌀,대형마트,W202410,20240304,20240310,538626935,1kg,2557
100,식량작물,112,찹쌀,체인슈퍼,W202410,20240304,20240310,80162908,1kg,2557
100,식량작물,112,찹쌀,체인슈퍼,W202401,20240101,20240107,265033461,1kg,2526
100,식량작물,112,찹쌀,대형마트,W202401,20240101,20240107,753642655,1kg,2526
100,식량작물,112,찹쌀,체인슈퍼,W202402,20240108,20240114,185041663,1kg,2530
100,식량작물,112,찹쌀,대형마트,W202402,20240108,20240114,595205073,1kg,2530
100,식량작물,112,찹쌀,대형마트,W202406,20240205,20240211,483403236,1kg,2539
100,식량작물,112,찹쌀,체인슈퍼,W202406,20240205,20240211,124418962,1kg,2539
100,식량작물,112,찹쌀,대형마트,W202421,20240520,20240526,393588859,1kg,2662
100,식량작물,112,찹쌀,체인슈퍼,W202421,20240520,20240526,110928641,1kg,2662
100,식량작물,112,찹쌀,대형마트,W202422,20240527,20240602,448493890,1kg,2665
100,식량작물,112,찹쌀,체인슈퍼,W202422,20240527,20240602,110442711,1kg,2665
100,식량작물,112,찹쌀,체인슈퍼,W202440,20240930,20241006,97995460,1kg,2739
100,식량작물,112,찹쌀,대형마트,W202440,20240930,20241006,694663826,1kg,2739
100,식량작물,112,찹쌀,대형마트,W202451,20241216,20241222,599565106,1kg,3480
