년-월-일,출처 플랫폼,카테고리,성별,연령대,직업군,지역_시,지역_구,제목,접속 시간,사용 시간,검색사이트 URL,언론사 ID,언론사 이름,기사번호,플랫폼 기준 색션,매칭 키워드 
2025-01-01,네이버,뉴스,여성,60대,전업주부,부산,해운대구,"""귤 사먹느니 비타민 사먹어요""…천정부지로 치솟는 과일값",2025-01-01 08:12,16,https://n.news.naver.com/article/015/0005076651?cds=news_edit,2217,한국경제,5076651,생활,과일
2025-01-01,네이버,뉴스,여성,60대,화이트칼라,서울,동작구,"""귤 사먹느니 비타민 사먹어요""…천정부지로 치솟는 과일값",2025-01-01 08:53,11,https://n.news.naver.com/article/015/0005076651?cds=news_edit,2217,한국경제,5076651,생활,과일
2025-01-01,네이버,뉴스,남성,70대,블루칼라,서울,송파구,"""귤 사먹느니 비타민 사먹어요""…천정부지로 치솟는 과일값",2025-01-01 12:25,148,https://n.news.naver.com/article/015/0005076651?cds=news_edit,2217,한국경제,5076651,생활,과일
2025-01-01,네이버,뉴스,남성,60대,블루칼라,경기,수원시 장안구,"""귤 사먹느니 비타민 사먹어요""…천정부지로 치솟는 과일값",2025-01-01 13:05,12,https://n.news.naver.com/article/015/0005076651?cds=news_edit,2217,한국경제,5076651,생활,과일
2025-01-01,네이버,뉴스,여성,70대,전업주부,서울,강동구,"""귤 사먹느니 비타민 사먹어요""…천정부지로 치솟는 과일값",2025-01-01 15:04,3,https://n.news.naver.com/article/015/0005076651?cds=news_edit,2217,한국경제,5076651,생활,과일
2025-01-01,네이버,뉴스,여성,40대,전업주부,서울,양천구,"""배에 음식으로 꽉 차""...이때 속 편하게 하는 음료 6가지",2025-01-01 01:14,7,https://n.news.naver.com/mnews/article/296/0000085330,2048,코메디닷컴,85330,생활,가지
2025-01-01,다음,뉴스,여성,50대,화이트칼라,인천,서구,"""배에 음식으로 꽉 차""...이때 속 편하게 하는 음료 6가지",2025-01-01 08:50,27,https://v.daum.net/v/20241231170426048,2048,코메디닷컴,2.02E+16,,가지
2025-01-01,네이버,뉴스,남성,40대,화이트칼라,서울,송파구,"[데일리안 오늘뉴스 종합] '고추 말리는 공항' '한화갑 공항'의 예견된 참사?, ""조류 충돌 사고 원인 아닐 수도…규모 너무 커"" 등",2025-01-01 18:44,8,https://n.news.naver.com/mnews/hotissue/article/119/0002909230?type=series&cid=2000782,718,데일리안,2909230,"정치,사회,세계,경제",고추
2025-01-01,기타,뉴스,여성,40대,화이트칼라,경기,남양주시,"[백종원 따라잡는 소여사레시피] 소유진, 간단한 밑반찬! 소시지 고추장볶음(소세지야채볶음) 만드는 법 - 글로벌이코노믹",2025-01-01 19:25,3,http://m.g-enews.com/view.php?ud=20170921131540512700c551d053_1,374,글로벌이코노믹,,,고추
2025-01-01,기타,뉴스,여성,20대,,충북,청주시 상당구,"‘땅콩회항’ 박창진, 항공기 참사에…“과도한 말들 오고가” - 헤럴드경제",2025-01-01 10:15,5,https://mbiz.heraldcorp.com/article/10160477?ref=naver,2307,헤럴드경제,,,땅콩
2025-01-01,기타,뉴스,여성,60대,전업주부,부산,강서구,"‘땅콩회항’ 박창진, 항공기 참사에…“과도한 말들 오고가” - 헤럴드경제",2025-01-01 15:05,22,https://mbiz.heraldcorp.com/article/10160477,2307,헤럴드경제,,,땅콩
2025-01-01,기타,뉴스,여성,60대,전업주부,부산,강서구,"‘땅콩회항’ 박창진, 항공기 참사에…“과도한 말들 오고가” - 헤럴드경제",2025-01-01 15:03,69,https://mbiz.heraldcorp.com/article/10160477,2307,헤럴드경제,,,땅콩
2025-01-01,네이버,뉴스,여성,50대,화이트칼라,서울,마포구,‘땅콩회항’ 박창진 “괌 대한항공 사고 때 멱살 잡히기도…아픔에 무관심 안돼”,2025-01-01 16:08,31,https://n.news.naver.com/article/081/0003507950?cds=news_edit,1104,서울신문,3507950,사회,땅콩
2025-01-01,네이버,뉴스,여성,40대,,인천,남동구,‘땅콩회항’ 박창진 “괌 대한항공 사고 때 멱살 잡히기도…아픔에 무관심 안돼”,2025-01-01 18:09,8,https://n.news.naver.com/article/081/0003507950,1104,서울신문,3507950,사회,땅콩
2025-01-01,네이버,뉴스,여성,40대,전업주부,울산,남구,‘땅콩회항’ 박창진 “괌 대한항공 사고 때 멱살 잡히기도…아픔에 무관심 안돼”,2025-01-01 20:45,14,https://n.news.naver.com/article/081/0003507950?iid=983,1104,서울신문,3507950,사회,땅콩
2025-01-01,다음,뉴스,여성,40대,전업주부,인천,남동구,‘땅콩회항’ 박창진 “괌 대한항공 사고 때 멱살 잡히기도…아픔에 무관심 안돼”,2025-01-01 17:50,4,https://v.daum.net/v/20250101153401645,1104,서울신문,2.03E+16,,땅콩
2025-01-01,다음,뉴스,여성,40대,전업주부,인천,남동구,‘땅콩회항’ 박창진 “괌 대한항공 사고 때 멱살 잡히기도…아픔에 무관심 안돼”,2025-01-01 17:50,19,https://v.daum.net/v/20250101153401645,1104,서울신문,2.03E+16,,땅콩
2025-01-01,다음,뉴스,여성,60대,전업주부,대구,동구,‘땅콩회항’ 박창진 “괌 대한항공 사고 때 멱살 잡히기도…아픔에 무관심 안돼”,2025-01-01 17:35,33,https://v.daum.net/v/20250101153401645,1104,서울신문,2.03E+16,,땅콩
2025-01-01,다음,뉴스,여성,60대,전업주부,대구,동구,‘땅콩회항’ 박창진 “괌 대한항공 사고 때 멱살 잡히기도…아픔에 무관심 안돼”,2025-01-01 17:35,36,https://v.daum.net/v/20250101153401645,1104,서울신문,2.03E+16,,땅콩
2025-01-01,다음,뉴스,여성,60대,전업주부,대구,동구,‘땅콩회항’ 박창진 “괌 대한항공 사고 때 멱살 잡히기도…아픔에 무관심 안돼”,2025-01-01 17:35,40,https://v.daum.net/v/20250101153401645,1104,서울신문,2.03E+16,,땅콩
2025-01-01,다음,뉴스,남성,30대,화이트칼라,서울,송파구,"‘오징어게임2’ 로튼토마토 82%, “악마적인 도전 흥미진진” 호평[MD이슈]",2025-01-01 12:21,4,https://v.daum.net/v/20250101101915155,801,마이데일리,2.03E+16,,토마토
2025-01-01,네이버,뉴스,여성,50대,전업주부,경기,파주시,“건강한 한 해 위해” 1월에 꼭 먹어야 하는 식품 5가지,2025-01-01 12:06,11,https://n.news.naver.com/article/346/0000085543?cds=news_edit,2318,헬스조선,85543,생활,가지
2025-01-01,네이버,뉴스,여성,40대,전업주부,인천,부평구,“마트 갈 때마다 철렁”…1년 새 귤 46%·사과 30% 올랐다는데,2025-01-01 07:08,6,https://n.news.naver.com/article/009/0005422174?cds=news_my,810,매일경제,5422174,경제,사과
2025-01-01,네이버,뉴스,여성,40대,전업주부,울산,남구,“마트 갈 때마다 철렁”…1년 새 귤 46%·사과 30% 올랐다는데,2025-01-01 07:29,5,https://n.news.naver.com/article/009/0005422174?cds=news_my,810,매일경제,5422174,경제,사과
2025-01-01,네이버,뉴스,여성,40대,화이트칼라,경남,김해시,“이 정도면 음식물쓰레기”…‘곰팡이 고구마’ 판 쇼핑몰,2025-01-01 14:48,6,https://n.news.naver.com/mnews/article/005/0001512867,323,국민일보,1512867,생활,고구마
2025-01-01,기타,뉴스,여성,40대,전업주부,경기,남양주시,귤 사먹느니 비타민 사먹어요…천정부지로 치솟는 과일값 | 한국경제,2025-01-01 08:04,15,https://www.hankyung.com/article/202412318597g?kakao_from=mainnews,2217,한국경제,,,과일
2025-01-01,기타,뉴스,여성,40대,화이트칼라,서울,중랑구,귤 사먹느니 비타민 사먹어요…천정부지로 치솟는 과일값 | 한국경제,2025-01-01 09:13,21,https://www.hankyung.com/article/202412318597g?kakao_from=mainnews,2217,한국경제,,,과일
2025-01-01,기타,뉴스,여성,50대,화이트칼라,전북,전주시 완산구,귤 사먹느니 비타민 사먹어요…천정부지로 치솟는 과일값 | 한국경제,2025-01-01 12:23,26,https://www.hankyung.com/article/202412318597g?kakao_from=mainnews,2217,한국경제,,,과일
2025-01-01,기타,뉴스,남성,50대,블루칼라,서울,관악구,귤 사먹느니 비타민 사먹어요…천정부지로 치솟는 과일값 | 한국경제,2025-01-01 12:41,106,https://www.hankyung.com/article/202412318597g?kakao_from=mainnews,2217,한국경제,,,과일
2025-01-01,기타,뉴스,남성,50대,화이트칼라,서울,금천구,귤 사먹느니 비타민 사먹어요…천정부지로 치솟는 과일값 | 한국경제,2025-01-01 13:29,5,https://www.hankyung.com/article/202412318597g?kakao_from=mainnews,2217,한국경제,,,과일
2025-01-01,기타,뉴스,남성,40대,화이트칼라,경기,용인시 기흥구,귤 사먹느니 비타민 사먹어요…천정부지로 치솟는 과일값 | 한국경제,2025-01-01 13:21,3,https://www.hankyung.com/article/202412318597g?kakao_from=mainnews,2217,한국경제,,,과일
2025-01-01,기타,뉴스,남성,50대,화이트칼라,서울,금천구,귤 사먹느니 비타민 사먹어요…천정부지로 치솟는 과일값 | 한국경제,2025-01-01 15:01,9,https://www.hankyung.com/article/202412318597g?kakao_from=mainnews,2217,한국경제,,,과일
2025-01-01,네이버,뉴스,여성,40대,전업주부,서울,양천구,내 몸속 염증 물리치려면?...‘이 과일’ 오일 먹어볼까?,2025-01-01 01:16,7,https://n.news.naver.com/mnews/article/296/0000085313,2048,코메디닷컴,85313,생활,"과일,리치"
2025-01-01,다음,뉴스,남성,50대,,대전,대덕구,내 몸속 염증 물리치려면?...‘이 과일’ 오일 먹어볼까?,2025-01-01 08:03,21,https://v.daum.net/v/20241231100052171,2048,코메디닷컴,2.02E+16,,"과일,리치"
2025-01-01,다음,뉴스,남성,60대,화이트칼라,경기,용인시 수지구,농지에 잘 수 있는 '쉼터' 허용…쌀·배추도 수입안정보험 적용,2025-01-01 08:34,47,https://v.daum.net/v/20241231180102660?x_trkm=t,2217,한국경제,2.02E+16,,배추
2025-01-01,네이버,뉴스,여성,40대,,광주,북구,목동 깨비시장 차량 돌진으로 과일가게 상인 1명 사망,2025-01-01 06:38,36,https://n.news.naver.com/article/421/0007997480?cds=news_edit,491,뉴스1,7997480,사회,과일
2025-01-01,네이버,뉴스,여성,60대,전업주부,서울,양천구,목동 깨비시장 차량 돌진으로 과일가게 상인 1명 사망,2025-01-01 14:19,100,https://n.news.naver.com/article/421/0007997480?sid=102,491,뉴스1,7997480,사회,과일
2025-01-01,다음,뉴스,여성,50대,블루칼라,대전,서구,바나나 한 송이를 새벽 배송으로 주문한다는 것 [노동의 표정],2025-01-01 13:04,9,https://v.daum.net/v/20250101125521827,683,더스쿠프,2.03E+16,,바나나
2025-01-01,다음,뉴스,남성,60대,화이트칼라,경기,고양시 일산동구,바나나 한 송이를 새벽 배송으로 주문한다는 것 [노동의 표정],2025-01-01 14:39,7,https://v.daum.net/v/20250101125521827,683,더스쿠프,2.03E+16,,바나나
